,,,,,C-8  EDUCATIONAL LEVEL BY AGE AND SEX FOR POPULATION AGE 7 AND ABOVE - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,State,Distt.,Area Name,Total/,Age-group,    Total,,,Illiterate,,,Literate,,,Educational level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,,Rural/,,,,,,,,,,,Literate without,,,Below,,,Primary,,,Middle,,,Matric/Secondary,,,Higher secondary/Intermediate,,,Non-technical diploma or,,,Technical diploma or certificate,,,Graduate & above,,,Unclassified,,
,,,,Urban/,,,,,,,,,,,educational level,,,primary,,,,,,,,,,,,Pre-University/Senior secondary,,,certificate not equal to degree,,,not equal to degree ,,,,,,,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2308,0,0,INDIA,Total,All ages,1210854977,623270258,587584719,447216165,188506636,258709529,763638812,434763622,328875190,35153231,19278416,15874815,146897597,78445099,68452498,184170833,99311072,84859761,133903266,77629578,56273688,105939743,63769834,42169909,77942593,46481321,31461272,1072289,726565,345724,7238719,5354161,1884558,68288971,42120460,26168511,3031570,1647116,1384454
C2308,0,0,INDIA,Rural,All ages,833748852,427781058,405967794,350955017,146419684,204535333,482793835,281361374,201432461,22904616,12879121,10025495,109643998,59106785,50537213,130265150,71805082,58460068,90343798,53864377,36479421,61083022,38437368,22645654,40652307,25900436,14751871,434112,287418,146694,3069181,2285580,783601,22339967,15659295,6680672,2057684,1135912,921772
C2308,0,0,INDIA,Urban,All ages,377106125,195489200,181616925,96261148,42086952,54174196,280844977,153402248,127442729,12248615,6399295,5849320,37253599,19338314,17915285,53905683,27505990,26399693,43559468,23765201,19794267,44856721,25332466,19524255,37290286,20580885,16709401,638177,439147,199030,4169538,3068581,1100957,45949004,26461165,19487839,973886,511204,462682
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2308,1,0,State - JAMMU & KASHMIR,Total,All ages,12541302,6640662,5900640,5474069,2375991,3098078,7067233,4264671,2802562,195783,124009,71774,987774,541130,446644,1285909,719512,566397,1666381,1015129,651252,1411973,919672,492301,776437,486800,289637,4781,3542,1239,50822,33854,16968,653764,401279,252485,33609,19744,13865
C2308,1,0,State - JAMMU & KASHMIR,Rural,All ages,9108060,4774477,4333583,4360110,1882728,2477382,4747950,2891749,1856201,114239,71510,42729,763590,419327,344263,999472,564510,434962,1243109,770561,472548,887397,583213,304184,445283,282329,162954,2833,2149,684,14721,10723,3998,254288,173914,80374,23018,13513,9505
C2308,1,0,State - JAMMU & KASHMIR,Urban,All ages,3433242,1866185,1567057,1113959,493263,620696,2319283,1372922,946361,81544,52499,29045,224184,121803,102381,286437,155002,131435,423272,244568,178704,524576,336459,188117,331154,204471,126683,1948,1393,555,36101,23131,12970,399476,227365,172111,10591,6231,4360
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2308,3,0,State - PUNJAB,Total,All ages,27743338,14639465,13103873,9036201,4203409,4832792,18707137,10436056,8271081,566332,299936,266396,2227684,1273936,953748,4288200,2273540,2014660,3066305,1747063,1319242,4186373,2472299,1714074,2310511,1313943,996568,24287,11117,13170,234365,147801,86564,1760846,873776,887070,42234,22645,19589
C2308,3,0,State - PUNJAB,Rural,All ages,17344192,9093476,8250716,6346535,2934669,3411866,10997657,6158807,4838850,347952,185107,162845,1454338,832909,621429,2953365,1555595,1397770,1965243,1117838,847405,2441614,1452187,989427,1233520,703937,529583,8610,4430,4180,104325,64709,39616,460985,227170,233815,27705,14925,12780
C2308,3,0,State - PUNJAB,Urban,All ages,10399146,5545989,4853157,2689666,1268740,1420926,7709480,4277249,3432231,218380,114829,103551,773346,441027,332319,1334835,717945,616890,1101062,629225,471837,1744759,1020112,724647,1076991,610006,466985,15677,6687,8990,130040,83092,46948,1299861,646606,653255,14529,7720,6809
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2308,7,0,State - NCT OF DELHI,Total,All ages,16787941,8987326,7800615,4050174,1792470,2257704,12737767,7194856,5542911,453455,239952,213503,1458061,796975,661086,2230894,1197622,1033272,1931411,1099958,831453,2186314,1318133,868181,1598435,930296,668139,12538,6430,6108,94586,61852,32734,2757844,1535972,1221872,14229,7666,6563
C2308,7,0,State - NCT OF DELHI,Rural,All ages,419042,226321,192721,122442,51994,70448,296600,174327,122273,8213,4460,3753,40394,22595,17799,59411,31897,27514,52739,30035,22704,61926,38776,23150,42190,27000,15190,143,75,68,2717,1597,1120,28558,17725,10833,309,167,142
C2308,7,0,State - NCT OF DELHI,Urban,All ages,16368899,8761005,7607894,3927732,1740476,2187256,12441167,7020529,5420638,445242,235492,209750,1417667,774380,643287,2171483,1165725,1005758,1878672,1069923,808749,2124388,1279357,845031,1556245,903296,652949,12395,6355,6040,91869,60255,31614,2729286,1518247,1211039,13920,7499,6421
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2308,9,0,State - UTTAR PRADESH,Total,All ages,199812341,104480510,95331831,85414786,36245546,49169240,114397555,68234964,46162591,5381466,3219206,2162260,21424480,11763367,9661113,27798792,15505178,12293614,23122728,14276668,8846060,15137315,9748121,5389194,10807005,6820583,3986422,135958,73327,62631,189869,167522,22347,9919838,6378138,3541700,480104,282854,197250
C2308,9,0,State - UTTAR PRADESH,Rural,All ages,155317278,80992995,74324283,70032598,29199307,40833291,85284680,51793688,33490992,3845233,2347662,1497571,17578607,9646918,7931689,22391245,12594860,9796385,18300002,11539043,6760959,10759925,7193250,3566675,7242155,4800640,2441515,83863,40781,43082,90859,83600,7259,4654942,3344339,1310603,337849,202595,135254
C2308,9,0,State - UTTAR PRADESH,Urban,All ages,44495063,23487515,21007548,15382188,7046239,8335949,29112875,16441276,12671599,1536233,871544,664689,3845873,2116449,1729424,5407547,2910318,2497229,4822726,2737625,2085101,4377390,2554871,1822519,3564850,2019943,1544907,52095,32546,19549,99010,83922,15088,5264896,3033799,2231097,142255,80259,61996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2308,10,0,State - BIHAR,Total,All ages,104099452,54278157,49821295,51594899,22670134,28924765,52504553,31608023,20896530,3025999,1748926,1277073,13701980,7308358,6393622,13154969,7625383,5529586,7969599,4930890,3038709,7266128,4785058,2481070,3839395,2584078,1255317,93051,58956,34095,35466,30839,4627,3061676,2326092,735584,356290,209443,146847
C2308,10,0,State - BIHAR,Rural,All ages,92341436,48073850,44267586,47529284,20832020,26697264,44812152,27241830,17570322,2661185,1550711,1110474,12370917,6611758,5759159,11717783,6878975,4838808,6873883,4333233,2540650,5974728,4063729,1910999,2940913,2054874,886039,77793,49520,28273,24196,21396,2800,1851135,1488731,362404,319619,188903,130716
C2308,10,0,State - BIHAR,Urban,All ages,11758016,6204307,5553709,4065615,1838114,2227501,7692401,4366193,3326208,364814,198215,166599,1331063,696600,634463,1437186,746408,690778,1095716,597657,498059,1291400,721329,570071,898482,529204,369278,15258,9436,5822,11270,9443,1827,1210541,837361,373180,36671,20540,16131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2308,12,0,State - ARUNACHAL PRADESH,Total,All ages,1383727,713912,669815,617722,274044,343678,766005,439868,326137,21651,12529,9122,164976,88788,76188,189369,102518,86851,145848,82535,63313,109304,65757,43547,74205,46020,28185,778,606,172,4394,3573,821,53606,36430,17176,1874,1112,762
C2308,12,0,State - ARUNACHAL PRADESH,Rural,All ages,1066358,546011,520347,530456,236621,293835,535902,309390,226512,16407,9511,6896,130062,70679,59383,144994,79508,65486,103066,58908,44158,66263,40256,26007,43588,28186,15402,412,317,95,2197,1796,401,27668,19476,8192,1245,753,492
C2308,12,0,State - ARUNACHAL PRADESH,Urban,All ages,317369,167901,149468,87266,37423,49843,230103,130478,99625,5244,3018,2226,34914,18109,16805,44375,23010,21365,42782,23627,19155,43041,25501,17540,30617,17834,12783,366,289,77,2197,1777,420,25938,16954,8984,629,359,270
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2308,18,0,State - ASSAM,Total,All ages,31205576,15939443,15266133,12027599,5370804,6656795,19177977,10568639,8609338,920663,507614,413049,4550439,2469904,2080535,4383390,2378849,2004541,4285011,2248173,2036838,1445515,802772,642743,2507238,1468893,1038345,3683,3106,577,36671,30143,6528,1011345,639241,372104,34022,19944,14078
C2308,18,0,State - ASSAM,Rural,All ages,26807034,13678989,13128045,11121598,4972796,6148802,15685436,8706193,6979243,789082,440255,348827,4059010,2219933,1839077,3787871,2066648,1721223,3572051,1885166,1686885,1119987,632475,487512,1803720,1089418,714302,2571,2270,301,14998,12237,2761,507240,340774,166466,28906,17017,11889
C2308,18,0,State - ASSAM,Urban,All ages,4398542,2260454,2138088,906001,398008,507993,3492541,1862446,1630095,131581,67359,64222,491429,249971,241458,595519,312201,283318,712960,363007,349953,325528,170297,155231,703518,379475,324043,1112,836,276,21673,17906,3767,504105,298467,205638,5116,2927,2189
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2308,19,0,State - WEST BENGAL,Total,All ages,91276115,46809027,44467088,29737834,12990217,16747617,61538281,33818810,27719471,1963759,1048966,914793,15902612,8437465,7465147,14954591,7897027,7057564,12474301,6684464,5789837,5430854,3151360,2279494,5599953,3253159,2346794,20127,15236,4891,138525,120335,18190,4827817,3088673,1739144,225742,122125,103617
C2308,19,0,State - WEST BENGAL,Rural,All ages,62183113,31844945,30338168,22969334,9996748,12972586,39213779,21848197,17365582,1192454,647306,545148,11970137,6421511,5548626,10626781,5687905,4938876,8167485,4449851,3717634,2768917,1690072,1078845,2895790,1791913,1103877,8506,7156,1350,30912,27390,3522,1402776,1042854,359922,150021,82239,67782
C2308,19,0,State - WEST BENGAL,Urban,All ages,29093002,14964082,14128920,6768500,2993469,3775031,22324502,11970613,10353889,771305,401660,369645,3932475,2015954,1916521,4327810,2209122,2118688,4306816,2234613,2072203,2661937,1461288,1200649,2704163,1461246,1242917,11621,8080,3541,107613,92945,14668,3425041,2045819,1379222,75721,39886,35835
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2308,24,0,State - GUJARAT,Total,All ages,60439692,31491260,28948432,19346334,8016387,11329947,41093358,23474873,17618485,2317423,1230706,1086717,8462829,4486708,3976121,10557001,5568559,4988442,6453935,4031450,2422485,6131997,3788353,2343644,3153566,1923817,1229749,37756,25992,11764,661401,455161,206240,3174158,1891932,1282226,143292,72195,71097
C2308,24,0,State - GUJARAT,Rural,All ages,34694609,17799159,16895450,13273767,5331516,7942251,21420842,12467643,8953199,1267646,685105,582541,5538772,2959945,2578827,6296439,3391739,2904700,3370371,2165852,1204519,2613328,1708455,904873,1263133,835627,427506,13140,10167,2973,298995,212889,86106,670430,452150,218280,88588,45714,42874
C2308,24,0,State - GUJARAT,Urban,All ages,25745083,13692101,12052982,6072567,2684871,3387696,19672516,11007230,8665286,1049777,545601,504176,2924057,1526763,1397294,4260562,2176820,2083742,3083564,1865598,1217966,3518669,2079898,1438771,1890433,1088190,802243,24616,15825,8791,362406,242272,120134,2503728,1439782,1063946,54704,26481,28223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2308,27,0,State - MAHARASHTRA,Total,All ages,112374333,58243056,54131277,30820043,12985472,17834571,81554290,45257584,36296706,4127878,2079746,2048132,15335820,8069806,7266014,16628201,8346143,8282058,12592729,7132530,5460199,13559841,7914102,5645739,9288522,5609011,3679511,83534,58561,24973,858367,680370,177997,8639081,5167671,3471410,440317,199644,240673
C2308,27,0,State - MAHARASHTRA,Rural,All ages,61556074,31539034,30017040,20073313,8147559,11925754,41482761,23391475,18091286,2486128,1232270,1253858,9911854,5299069,4612785,9436900,4784289,4652611,6828364,3917698,2910666,6392858,3852750,2540108,3853047,2512867,1340180,16153,12338,3815,262753,215348,47405,2007858,1440447,567411,286846,124399,162447
C2308,27,0,State - MAHARASHTRA,Urban,All ages,50818259,26704022,24114237,10746730,4837913,5908817,40071529,21866109,18205420,1641750,847476,794274,5423966,2770737,2653229,7191301,3561854,3629447,5764365,3214832,2549533,7166983,4061352,3105631,5435475,3096144,2339331,67381,46223,21158,595614,465022,130592,6631223,3727224,2903999,153471,75245,78226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2308,28,0,State - ANDHRA PRADESH,Total,All ages,84580777,42442146,42138631,34024017,14190903,19833114,50556760,28251243,22305517,3142311,1741175,1401136,7437519,3884076,3553443,13449300,6904114,6545186,5572154,3006742,2565412,8585481,4842743,3742738,5643010,3381495,2261515,94498,72832,21666,705274,587970,117304,5577387,3632622,1944765,349826,197474,152352
C2308,28,0,State - ANDHRA PRADESH,Rural,All ages,56361702,28243241,28118461,26010637,10847641,15162996,30351065,17395600,12955465,1856933,1065591,791342,5284438,2791703,2492735,9157499,4848653,4308846,3671765,2052920,1618845,5087964,3001888,2086076,2817877,1832095,985782,24919,19905,5014,352935,298051,54884,1921725,1382454,539271,175010,102340,72670
C2308,28,0,State - ANDHRA PRADESH,Urban,All ages,28219075,14198905,14020170,8013380,3343262,4670118,20205695,10855643,9350052,1285378,675584,609794,2153081,1092373,1060708,4291801,2055461,2236340,1900389,953822,946567,3497517,1840855,1656662,2825133,1549400,1275733,69579,52927,16652,352339,289919,62420,3655662,2250168,1405494,174816,95134,79682
