,,,,,"C-10 : POPULATION ATTENDING EDUCATIONAL INSTITUTIONS BY AGE, SEX  AND TYPE OF EDUCATIONAL INSTITUTION - 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,State,Distt.,Area Name,Total/,Age-,Total population ,,,Population ,,,Type of educational institution,,,,,,,,,,,,,,,,,,Population not attending educational institutions,,,,,
Name,Code,Code,,Rural/,group,,,,attending educational institutions,,,School,,,College,,,Vocational institute,,,Special institution for disabled,,,Literacy centre,,,Other institution,,,Attended Before,,,Never Attended,,
,,,,Urban/,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3010,0,0,INDIA,Total,All ages,1210854977,623270258,587584719,314556926,170537431,144019495,272193771,145414857,126778914,32836448,19416839,13419609,6449486,4197092,2252394,582164,326413,255751,1471766,625549,846217,1023291,556681,466610,481187692,279953000,201234692,415110359,172779827,242330532
C3010,0,0,INDIA,Rural,All ages,833748852,427781058,405967794,214744835,116908145,97836690,193134479,103419751,89714728,16631545,10547904,6083641,2812572,1910363,902209,329110,182600,146510,1241157,528945,712212,595972,318582,277390,290282165,175224339,115057826,328721852,135648574,193073278
C3010,0,0,INDIA,Urban,All ages,377106125,195489200,181616925,99812091,53629286,46182805,79059292,41995106,37064186,16204903,8868935,7335968,3636914,2286729,1350185,253054,143813,109241,230609,96604,134005,427319,238099,189220,190905527,104728661,86176866,86388507,37131253,49257254
C3010,1,0,State - JAMMU & KASHMIR,Total,All ages,12541302,6640662,5900640,3696633,2023700,1672933,3133988,1701566,1432422,490123,278354,211769,38439,23638,14801,3987,2290,1697,2716,1334,1382,27380,16518,10862,3772010,2439586,1332424,5072659,2177376,2895283
C3010,1,0,State - JAMMU & KASHMIR,Rural,All ages,9108060,4774477,4333583,2676870,1477727,1199143,2369814,1291639,1078175,271026,162817,108209,18488,12181,6307,2169,1239,930,1781,874,907,13592,8977,4615,2369581,1561745,807836,4061609,1735005,2326604
C3010,1,0,State - JAMMU & KASHMIR,Urban,All ages,3433242,1866185,1567057,1019763,545973,473790,764174,409927,354247,219097,115537,103560,19951,11457,8494,1818,1051,767,935,460,475,13788,7541,6247,1402429,877841,524588,1011050,442371,568679
C3010,3,0,State - PUNJAB,Total,All ages,27743338,14639465,13103873,6801164,3756578,3044586,5815915,3262667,2553248,768013,374564,393449,151778,87060,64718,20531,11355,9176,8203,3867,4336,36724,17065,19659,12745862,7123202,5622660,8196312,3759685,4436627
C3010,3,0,State - PUNJAB,Rural,All ages,17344192,9093476,8250716,4182696,2312902,1869794,3719077,2088189,1630888,358670,168983,189687,70079,38675,31404,12181,6716,5465,5236,2429,2807,17453,7910,9543,7325234,4115714,3209520,5836262,2664860,3171402
C3010,3,0,State - PUNJAB,Urban,All ages,10399146,5545989,4853157,2618468,1443676,1174792,2096838,1174478,922360,409343,205581,203762,81699,48385,33314,8350,4639,3711,2967,1438,1529,19271,9155,10116,5420628,3007488,2413140,2360050,1094825,1265225
C3010,7,0,State - NCT OF DELHI,Total,All ages,16787941,8987326,7800615,4717065,2589973,2127092,3796860,2076617,1720243,714033,386098,327935,166523,104732,61791,7315,4521,2794,3205,1384,1821,29129,16621,12508,8416894,4812396,3604498,3653982,1584957,2069025
C3010,7,0,State - NCT OF DELHI,Rural,All ages,419042,226321,192721,121535,68746,52789,103551,58256,45295,13951,8113,5838,3245,1969,1276,103,67,36,94,30,64,591,311,280,185424,111001,74423,112083,46574,65509
C3010,7,0,State - NCT OF DELHI,Urban,All ages,16368899,8761005,7607894,4595530,2521227,2074303,3693309,2018361,1674948,700082,377985,322097,163278,102763,60515,7212,4454,2758,3111,1354,1757,28538,16310,12228,8231470,4701395,3530075,3541899,1538383,2003516
C3010,9,0,State - UTTAR PRADESH,Total,All ages,199812341,104480510,95331831,57397639,31422439,25975200,50401095,27257101,23143994,5968898,3513634,2455264,667810,461424,206386,79861,44723,35138,109941,51960,57981,170034,93597,76437,61343576,38702160,22641416,81071126,34355911,46715215
C3010,9,0,State - UTTAR PRADESH,Rural,All ages,155317278,80992995,74324283,44660839,24520711,20140128,40371737,21861898,18509839,3732128,2306544,1425584,313450,228087,85363,55654,30951,24703,84165,39310,44855,103705,53921,49784,43954328,28710787,15243541,66702111,27761497,38940614
C3010,9,0,State - UTTAR PRADESH,Urban,All ages,44495063,23487515,21007548,12736800,6901728,5835072,10029358,5395203,4634155,2236770,1207090,1029680,354360,233337,121023,24207,13772,10435,25776,12650,13126,66329,39676,26653,17389248,9991373,7397875,14369015,6594414,7774601
C3010,10,0,State - BIHAR,Total,All ages,104099452,54278157,49821295,28365229,15757903,12607326,25475498,13871057,11604441,2331189,1622066,709123,171293,120496,50797,36659,20365,16294,214442,56035,158407,136148,67884,68264,26855076,17136181,9718895,48879147,21384073,27495074
C3010,10,0,State - BIHAR,Rural,All ages,92341436,48073850,44267586,24671221,13722334,10948887,22543086,12308862,10234224,1672774,1214826,457948,103512,72236,31276,31135,17154,13981,203753,52200,151553,116961,57056,59905,22551179,14657142,7894037,45119036,19694374,25424662
C3010,10,0,State - BIHAR,Urban,All ages,11758016,6204307,5553709,3694008,2035569,1658439,2932412,1562195,1370217,658415,407240,251175,67781,48260,19521,5524,3211,2313,10689,3835,6854,19187,10828,8359,4303897,2479039,1824858,3760111,1689699,2070412
C3010,18,0,State - ASSAM,Total,All ages,31205576,15939443,15266133,7548916,3902194,3646722,6763557,3460104,3303453,703600,391652,311948,42573,28487,14086,9784,5394,4390,11402,5676,5726,18000,10881,7119,12432989,7057632,5375357,11223671,4979617,6244054
C3010,18,0,State - ASSAM,Rural,All ages,26807034,13678989,13128045,6423680,3320321,3103359,5886790,3011183,2875607,482369,276254,206115,23160,15074,8086,7613,4223,3390,10444,5249,5195,13304,8338,4966,9962844,5726720,4236124,10420510,4631948,5788562
C3010,18,0,State - ASSAM,Urban,All ages,4398542,2260454,2138088,1125236,581873,543363,876767,448921,427846,221231,115398,105833,19413,13413,6000,2171,1171,1000,958,427,531,4696,2543,2153,2470145,1330912,1139233,803161,347669,455492
C3010,19,0,State - WEST BENGAL,Total,All ages,91276115,46809027,44467088,20857818,10829238,10028580,18617837,9510251,9107586,1723410,1031672,691738,126082,83612,42470,62291,35651,26640,251949,124966,126983,76249,43086,33163,42496443,23897571,18598872,27921854,12082218,15839636
C3010,19,0,State - WEST BENGAL,Rural,All ages,62183113,31844945,30338168,14434107,7479832,6954275,13276243,6767355,6508888,823933,529465,294468,43773,29850,13923,35302,20345,14957,214264,108476,105788,40592,24341,16251,26090469,15024391,11066078,21658537,9340722,12317815
C3010,19,0,State - WEST BENGAL,Urban,All ages,29093002,14964082,14128920,6423711,3349406,3074305,5341594,2742896,2598698,899477,502207,397270,82309,53762,28547,26989,15306,11683,37685,16490,21195,35657,18745,16912,16405974,8873180,7532794,6263317,2741496,3521821
C3010,24,0,State - GUJARAT,Total,All ages,60439692,31491260,28948432,14320617,8034221,6286396,12464991,6922663,5542328,1479855,868464,611391,294800,200780,94020,27530,15177,12353,30001,13451,16550,23440,13686,9754,28356858,16250612,12106246,17762217,7206427,10555790
C3010,24,0,State - GUJARAT,Rural,All ages,34694609,17799159,16895450,8102296,4520730,3581566,7431060,4096704,3334356,509956,318982,190974,115181,81629,33552,11572,6305,5267,23139,10162,12977,11388,6948,4440,14317218,8443925,5873293,12275095,4834504,7440591
C3010,24,0,State - GUJARAT,Urban,All ages,25745083,13692101,12052982,6218321,3513491,2704830,5033931,2825959,2207972,969899,549482,420417,179619,119151,60468,15958,8872,7086,6862,3289,3573,12052,6738,5314,14039640,7806687,6232953,5487122,2371923,3115199
C3010,27,0,State - MAHARASHTRA,Total,All ages,112374333,58243056,54131277,29474864,16029620,13445244,24684498,13148438,11536060,3742040,2246597,1495443,807395,511941,295454,78611,44737,33874,94439,39797,54642,67881,38110,29771,55603074,31085636,24517438,27296395,11127800,16168595
C3010,27,0,State - MAHARASHTRA,Rural,All ages,61556074,31539034,30017040,16201903,8830539,7371364,14268447,7579132,6689315,1478320,973724,504596,316844,210668,106176,38683,21597,17086,71170,30304,40866,28439,15114,13325,27210847,15558963,11651884,18143324,7149532,10993792
C3010,27,0,State - MAHARASHTRA,Urban,All ages,50818259,26704022,24114237,13272961,7199081,6073880,10416051,5569306,4846745,2263720,1272873,990847,490551,301273,189278,39928,23140,16788,23269,9493,13776,39442,22996,16446,28392227,15526673,12865554,9153071,3978268,5174803
C3010,28,0,State - ANDHRA PRADESH,Total,All ages,84580777,42442146,42138631,21701636,11733849,9967787,17428751,9124178,8304573,2997021,1844835,1152186,961145,619549,341596,48982,24986,23996,169756,71097,98659,95981,49204,46777,31253843,17665590,13588253,31625298,13042707,18582591
C3010,28,0,State - ANDHRA PRADESH,Rural,All ages,56361702,28243241,28118461,13660166,7476231,6183935,11464588,6051969,5412619,1518620,1010012,508608,468705,321747,146958,26427,12971,13456,125741,51702,74039,56085,27830,28255,18356718,10721909,7634809,24344818,10045101,14299717
C3010,28,0,State - ANDHRA PRADESH,Urban,All ages,28219075,14198905,14020170,8041470,4257618,3783852,5964163,3072209,2891954,1478401,834823,643578,492440,297802,194638,22555,12015,10540,44015,19395,24620,39896,21374,18522,12897125,6943681,5953444,7280480,2997606,4282874
